kabupaten	segment	honda_2026	total_market_2026	market_share_2026_pct	honda_2025	total_market_2025	market_share_2025_pct	delta_pp	market_contribution_to_province_2026_pct	period	source_file	provenance
Sarolangun	Cub Mid	203	279	72.75985663082437	193	289	66.78200692041523	5.977849710409146	0.3529768983578351	YTD_JAN_JUN_2026	SINSEN_EVALPOLREG+MSPERKAB_JUN 2026.xlsx	Database Polreg 2026/2025 raw rows; K=All Kabupaten; J=9 Segment; H=Brand; G=Unit
Sarolangun	Sport High	0	6	0.0	0	1	0.0	0.0	0.007590901039953442	YTD_JAN_JUN_2026	SINSEN_EVALPOLREG+MSPERKAB_JUN 2026.xlsx	Database Polreg 2026/2025 raw rows; K=All Kabupaten; J=9 Segment; H=Brand; G=Unit
Sarolangun	Sport Low	66	66	100.0	44	44	100.0	0.0	0.08349991143948787	YTD_JAN_JUN_2026	SINSEN_EVALPOLREG+MSPERKAB_JUN 2026.xlsx	Database Polreg 2026/2025 raw rows; K=All Kabupaten; J=9 Segment; H=Brand; G=Unit
Sarolangun	Sport Mid	655	708	92.51412429378531	453	488	92.82786885245902	-0.31374455867370443	0.8957263227145061	YTD_JAN_JUN_2026	SINSEN_EVALPOLREG+MSPERKAB_JUN 2026.xlsx	Database Polreg 2026/2025 raw rows; K=All Kabupaten; J=9 Segment; H=Brand; G=Unit
Tanjab Barat	ALL	6110	7608	80.31019978969506	4623	5940	77.82828282828282	2.4819169614122387	9.625262518660966	YTD_JAN_JUN_2026	SINSEN_EVALPOLREG+MSPERKAB_JUN 2026.xlsx	Database Polreg 2026/2025 raw rows; K=All Kabupaten; J=9 Segment; H=Brand; G=Unit
Tanjab Barat	AT High	1298	2084	62.284069097888676	826	1479	55.848546315077755	6.435522782810921	2.636572961210496	YTD_JAN_JUN_2026	SINSEN_EVALPOLREG+MSPERKAB_JUN 2026.xlsx	Database Polreg 2026/2025 raw rows; K=All Kabupaten; J=9 Segment; H=Brand; G=Unit
Tanjab Barat	AT Low	1890	1932	97.82608695652173	1397	1426	97.9663394109397	-0.1402524544179613	2.4442701348650084	YTD_JAN_JUN_2026	SINSEN_EVALPOLREG+MSPERKAB_JUN 2026.xlsx	Database Polreg 2026/2025 raw rows; K=All Kabupaten; J=9 Segment; H=Brand; G=Unit
Tanjab Barat	AT Mid	1198	1291	92.79628195197522	934	1006	92.84294234592446	-0.04666039394923871	1.633308873763316	YTD_JAN_JUN_2026	SINSEN_EVALPOLREG+MSPERKAB_JUN 2026.xlsx	Database Polreg 2026/2025 raw rows; K=All Kabupaten; J=9 Segment; H=Brand; G=Unit
Tanjab Barat	Cub High	29	145	20.0	31	157	19.745222929936308	0.25477707006369243	0.1834467751322082	YTD_JAN_JUN_2026	SINSEN_EVALPOLREG+MSPERKAB_JUN 2026.xlsx	Database Polreg 2026/2025 raw rows; K=All Kabupaten; J=9 Segment; H=Brand; G=Unit
Tanjab Barat	Cub Low	993	995	99.79899497487436	879	880	99.88636363636364	-0.08736866148927902	1.2588244224589458	YTD_JAN_JUN_2026	SINSEN_EVALPOLREG+MSPERKAB_JUN 2026.xlsx	Database Polreg 2026/2025 raw rows; K=All Kabupaten; J=9 Segment; H=Brand; G=Unit
Tanjab Barat	Cub Mid	501	938	53.41151385927505	390	777	50.19305019305019	3.2184636662248565	1.186710862579388	YTD_JAN_JUN_2026	SINSEN_EVALPOLREG+MSPERKAB_JUN 2026.xlsx	Database Polreg 2026/2025 raw rows; K=All Kabupaten; J=9 Segment; H=Brand; G=Unit
Tanjab Barat	Sport High	0	0		0	1	0.0		0.0	YTD_JAN_JUN_2026	SINSEN_EVALPOLREG+MSPERKAB_JUN 2026.xlsx	Database Polreg 2026/2025 raw rows; K=All Kabupaten; J=9 Segment; H=Brand; G=Unit
Tanjab Barat	Sport Low	65	65	100.0	40	40	100.0	0.0	0.08223476126616229	YTD_JAN_JUN_2026	SINSEN_EVALPOLREG+MSPERKAB_JUN 2026.xlsx	Database Polreg 2026/2025 raw rows; K=All Kabupaten; J=9 Segment; H=Brand; G=Unit
Tanjab Barat	Sport Mid	136	158	86.07594936708861	126	160	78.75	7.3259493670886116	0.19989372738544067	YTD_JAN_JUN_2026	SINSEN_EVALPOLREG+MSPERKAB_JUN 2026.xlsx	Database Polreg 2026/2025 raw rows; K=All Kabupaten; J=9 Segment; H=Brand; G=Unit
Tanjab Timur	ALL	2960	4107	72.07207207207207	2066	2961	69.77372509287403	2.298346979198044	5.195971761848131	YTD_JAN_JUN_2026	SINSEN_EVALPOLREG+MSPERKAB_JUN 2026.xlsx	Database Polreg 2026/2025 raw rows; K=All Kabupaten; J=9 Segment; H=Brand; G=Unit
