section	kabupaten_source	kecamatan	dealer_or_pos	ring_status	source_file	sheet	source_cell	currentness
Kota Jambi	JAMBI	JAMBI SELATAN	TDM Jambi	Other	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	V9	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	JAMBI TIMUR	CKIS I	Ring 2	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	C10	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	JAMBI TIMUR	CKIS II	Ring 2	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	D10	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	JAMBI TIMUR	DAM Jambi	Ring 1	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	E10	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	JAMBI TIMUR	HSO Jambi	Ring 2	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	F10	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	JAMBI TIMUR	MWP Rimbo	Other	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	G10	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	JAMBI TIMUR	NSS Jambi	Lokasi	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	H10	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	JAMBI TIMUR	PAS JAMBI	Ring 2	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	I10	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	JAMBI TIMUR	POS DAM Chandra	Ring 2	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	J10	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	JAMBI TIMUR	POS DAM Mayang	Other	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	K10	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	JAMBI TIMUR	POS HSO Liverpool	Ring 3	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	L10	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	JAMBI TIMUR	POS SSM Mayang	Other	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	M10	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	JAMBI TIMUR	POS TDM Buluran	Other	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	N10	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	JAMBI TIMUR	SM Talang Bakung	Ring 2	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	O10	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	JAMBI TIMUR	SSM Rawasari	Ring 1	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	P10	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	JAMBI TIMUR	SSM The Hok	Ring 1	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	Q10	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	JAMBI TIMUR	SSP Abunjani	Ring 3	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	R10	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	JAMBI TIMUR	SSP Handil	Ring 2	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	S10	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
